k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
2.848129e+01,8.062033e-10,2.010100e-08,2.010100e-10,1.032643e-10,2.522643e-09,2.522643e-11
2.848332e+01,8.135005e-10,2.034234e-08,2.034234e-10,1.049052e-10,2.593679e-09,2.593679e-11
2.848535e+01,8.191421e-10,2.055158e-08,2.055158e-10,1.063198e-10,2.658382e-09,2.658382e-11
2.848739e+01,8.228604e-10,2.072536e-08,2.072536e-10,1.074474e-10,2.715165e-09,2.715165e-11
2.848942e+01,8.245028e-10,2.086206e-08,2.086206e-10,1.082502e-10,2.762507e-09,2.762507e-11
2.849146e+01,8.240215e-10,2.096164e-08,2.096164e-10,1.087020e-10,2.798950e-09,2.798950e-11
2.849349e+01,8.214902e-10,2.102558e-08,2.102558e-10,1.087864e-10,2.823287e-09,2.823287e-11
2.849552e+01,8.170556e-10,2.105723e-08,2.105723e-10,1.085103e-10,2.834823e-09,2.834823e-11
2.849756e+01,8.108927e-10,2.106207e-08,2.106207e-10,1.079006e-10,2.833498e-09,2.833498e-11
2.849959e+01,8.031733e-10,2.104733e-08,2.104733e-10,1.069872e-10,2.819862e-09,2.819862e-11
2.850163e+01,7.940555e-10,2.102093e-08,2.102093e-10,1.058041e-10,2.794980e-09,2.794980e-11
2.850366e+01,7.837463e-10,2.099032e-08,2.099032e-10,1.043979e-10,2.760240e-09,2.760240e-11
2.850569e+01,7.724518e-10,2.096171e-08,2.096171e-10,1.028174e-10,2.717111e-09,2.717111e-11
2.850773e+01,7.603544e-10,2.093953e-08,2.093953e-10,1.011005e-10,2.667045e-09,2.667045e-11
2.850976e+01,7.475821e-10,2.092613e-08,2.092613e-10,9.927512e-11,2.611500e-09,2.611500e-11
2.851180e+01,7.341698e-10,2.092186e-08,2.092186e-10,9.735981e-11,2.551937e-09,2.551937e-11
2.851383e+01,7.201648e-10,2.092503e-08,2.092503e-10,9.536458e-11,2.489707e-09,2.489707e-11
2.851586e+01,7.056272e-10,2.093156e-08,2.093156e-10,9.329080e-11,2.425899e-09,2.425899e-11
2.851790e+01,6.906473e-10,2.093490e-08,2.093490e-10,9.113976e-11,2.361181e-09,2.361181e-11
2.851993e+01,6.753581e-10,2.092641e-08,2.092641e-10,8.891795e-11,2.295688e-09,2.295688e-11
2.852197e+01,6.598753e-10,2.089630e-08,2.089630e-10,8.663354e-11,2.229122e-09,2.229122e-11
2.852400e+01,6.443812e-10,2.083495e-08,2.083495e-10,8.430507e-11,2.161102e-09,2.161102e-11
2.852603e+01,6.291178e-10,2.073410e-08,2.073410e-10,8.196756e-11,2.091525e-09,2.091525e-11
2.852807e+01,6.143849e-10,2.058757e-08,2.058757e-10,7.967024e-11,2.020769e-09,2.020769e-11
2.853010e+01,6.005736e-10,2.039159e-08,2.039159e-10,7.747585e-11,1.949720e-09,1.949720e-11
2.853214e+01,5.880484e-10,2.014441e-08,2.014441e-10,7.545219e-11,1.879616e-09,1.879616e-11
2.853417e+01,5.771087e-10,1.984595e-08,1.984595e-10,7.366081e-11,1.811768e-09,1.811768e-11
2.853620e+01,5.679740e-10,1.949806e-08,1.949806e-10,7.215135e-11,1.747381e-09,1.747381e-11
2.853824e+01,5.608202e-10,1.910499e-08,1.910499e-10,7.096132e-11,1.687618e-09,1.687618e-11
2.854027e+01,5.557832e-10,1.867372e-08,1.867372e-10,7.011061e-11,1.633715e-09,1.633715e-11
2.854231e+01,5.528494e-10,1.821388e-08,1.821388e-10,6.959187e-11,1.586986e-09,1.586986e-11
2.854434e+01,5.518996e-10,1.773747e-08,1.773747e-10,6.937423e-11,1.548662e-09,1.548662e-11
2.854637e+01,5.526866e-10,1.725814e-08,1.725814e-10,6.940870e-11,1.519614e-09,1.519614e-11
2.854841e+01,5.548146e-10,1.679036e-08,1.679036e-10,6.962953e-11,1.500057e-09,1.500057e-11
2.855044e+01,5.578711e-10,1.634874e-08,1.634874e-10,6.996542e-11,1.489449e-09,1.489449e-11
2.855247e+01,5.615009e-10,1.594762e-08,1.594762e-10,7.035576e-11,1.486733e-09,1.486733e-11
2.855451e+01,5.654171e-10,1.560053e-08,1.560053e-10,7.075576e-11,1.490745e-09,1.490745e-11
2.855654e+01,5.693456e-10,1.531961e-08,1.531961e-10,7.113208e-11,1.500487e-09,1.500487e-11
2.855858e+01,5.730751e-10,1.511474e-08,1.511474e-10,7.146535e-11,1.515191e-09,1.515191e-11
2.856061e+01,5.765116e-10,1.499278e-08,1.499278e-10,7.175555e-11,1.534207e-09,1.534207e-11
2.856264e+01,5.796295e-10,1.495697e-08,1.495697e-10,7.202021e-11,1.556821e-09,1.556821e-11
2.856468e+01,5.825108e-10,1.500700e-08,1.500700e-10,7.228366e-11,1.582166e-09,1.582166e-11
2.856671e+01,5.853223e-10,1.513971e-08,1.513971e-10,7.257103e-11,1.609309e-09,1.609309e-11
2.856875e+01,5.882271e-10,1.534990e-08,1.534990e-10,7.290750e-11,1.637449e-09,1.637449e-11
2.857078e+01,5.913171e-10,1.563094e-08,1.563094e-10,7.330696e-11,1.666064e-09,1.666064e-11
2.857281e+01,5.946304e-10,1.597511e-08,1.597511e-10,7.376750e-11,1.694922e-09,1.694922e-11
2.857485e+01,5.982162e-10,1.637390e-08,1.637390e-10,7.427903e-11,1.724021e-09,1.724021e-11
2.857688e+01,6.020452e-10,1.681847e-08,1.681847e-10,7.482502e-11,1.753488e-09,1.753488e-11
2.857892e+01,6.060262e-10,1.730005e-08,1.730005e-10,7.538517e-11,1.783502e-09,1.783502e-11
2.858095e+01,6.100724e-10,1.781040e-08,1.781040e-10,7.593669e-11,1.814281e-09,1.814281e-11
2.858298e+01,6.140274e-10,1.834203e-08,1.834203e-10,7.645721e-11,1.846114e-09,1.846114e-11
2.858502e+01,6.177454e-10,1.888813e-08,1.888813e-10,7.693864e-11,1.879358e-09,1.879358e-11
2.858705e+01,6.211823e-10,1.944239e-08,1.944239e-10,7.738712e-11,1.914369e-09,1.914369e-11
2.858909e+01,6.243943e-10,1.999877e-08,1.999877e-10,7.781744e-11,1.951422e-09,1.951422e-11
2.859112e+01,6.274789e-10,2.055152e-08,2.055152e-10,7.825357e-11,1.990639e-09,1.990639e-11
