k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
2.094960e-01,1.792260e-01,1.916087e-01,1.916087e-03,4.237967e-02,4.350106e-02,4.350106e-04
2.115299e-01,1.689004e-01,1.827138e-01,1.827138e-03,4.084357e-02,4.273718e-02,4.273718e-04
2.135639e-01,1.578620e-01,1.674858e-01,1.674858e-03,3.781557e-02,3.952112e-02,3.952112e-04
2.155978e-01,1.491445e-01,1.562787e-01,1.562787e-03,3.622503e-02,3.787674e-02,3.787674e-04
2.176318e-01,1.372783e-01,1.452135e-01,1.452135e-03,3.370482e-02,3.521682e-02,3.521682e-04
2.196657e-01,1.326374e-01,1.383995e-01,1.383995e-03,3.240599e-02,3.387404e-02,3.387404e-04
2.216997e-01,1.205310e-01,1.240547e-01,1.240547e-03,2.950676e-02,3.090693e-02,3.090693e-04
2.237336e-01,1.169180e-01,1.196160e-01,1.196160e-03,2.793925e-02,2.896137e-02,2.896137e-04
2.257675e-01,1.060901e-01,1.105590e-01,1.105590e-03,2.631119e-02,2.737650e-02,2.737650e-04
2.278015e-01,9.920383e-02,1.040883e-01,1.040883e-03,2.404572e-02,2.474813e-02,2.474813e-04
2.298354e-01,9.115517e-02,9.502518e-02,9.502518e-04,2.249122e-02,2.319106e-02,2.319106e-04
2.318694e-01,8.581404e-02,9.059510e-02,9.059510e-04,2.140230e-02,2.204371e-02,2.204371e-04
2.339033e-01,7.924153e-02,8.269415e-02,8.269415e-04,2.005199e-02,2.071693e-02,2.071693e-04
2.359372e-01,7.479444e-02,7.707868e-02,7.707868e-04,1.856347e-02,1.911698e-02,1.911698e-04
2.379712e-01,7.065014e-02,7.243027e-02,7.243027e-04,1.761819e-02,1.819474e-02,1.819474e-04
2.400051e-01,6.414831e-02,6.754066e-02,6.754066e-04,1.634395e-02,1.703933e-02,1.703933e-04
2.420391e-01,5.997286e-02,6.129311e-02,6.129311e-04,1.486497e-02,1.525256e-02,1.525256e-04
2.440730e-01,5.635322e-02,5.839996e-02,5.839996e-04,1.407359e-02,1.462054e-02,1.462054e-04
2.461070e-01,5.200321e-02,5.433287e-02,5.433287e-04,1.332937e-02,1.399515e-02,1.399515e-04
